company_id,sector,cfo_val,cff_val,net_profit
COMP_04,Healthcare,-99.12759982991234,148.6913997448685,247.81899957478083
COMP_09,Financials,-960.0126769600425,1440.0190154400636,2400.0316924001063
COMP_14,Pharma,-969.5222272323485,1454.2833408485226,2423.805568080871
COMP_19,Financials,-258.6856488858214,388.0284733287321,646.7141222145535
COMP_24,Manufacturing,-527.348571634917,791.0228574523754,1318.3714290872924
COMP_29,Energy,-853.0914892605932,1279.6372338908898,2132.728723151483
COMP_34,Consumer Goods,-100.87410976210847,151.3111646431627,252.18527440527117
COMP_39,Manufacturing,-206.05704250487017,309.08556375730524,515.1426062621754
COMP_44,Energy,-1057.5558791490455,1586.3338187235684,2643.889697872614
COMP_49,IT Services,-266.1157034938319,399.1735552407479,665.2892587345798
COMP_54,Pharma,-822.7004038281823,1234.0506057422733,2056.7510095704556
COMP_59,IT Services,-1059.1536266456687,1588.730439968503,2647.884066614172
COMP_64,IT Services,-633.6821933594856,950.5232900392284,1584.205483398714
COMP_69,Manufacturing,-63.63749061306871,95.45623591960305,159.09372653267175
COMP_74,Pharma,-55.10932516299229,82.66398774448842,137.77331290748072
COMP_79,Manufacturing,-731.6012365764095,1097.4018548646143,1829.0030914410238
COMP_84,Energy,-566.2570224818331,849.3855337227495,1415.6425562045827
COMP_89,Pharma,-532.0962694651797,798.1444041977694,1330.2406736629491
