rank,company_id,company_name,year,return_on_equity_pct,roe_score,net_profit_margin_pct,npm_score,debt_to_equity,de_score,revenue_cagr_5yr,growth_score,interest_coverage,icr_score,composite_score,quality_rating
1,DIVISLAB,Divis Laboratories Ltd,2022,25.2387448840382,25,33.035714285714285,20,0.00034106412005457026,20,17.130733265194962,20,1998.5,15,100,Excellent
1,IRCTC,Indian Railway Catering & Tourism Corporation Ltd,2020,39.04109589041096,25,22.659010600706715,20,0.0,20,16.411555535790434,20,78.0,15,100,Excellent
1,IRCTC,Indian Railway Catering & Tourism Corporation Ltd,2023,40.597255851493145,25,28.410053657158997,20,0.03389830508474576,20,19.288448837755602,20,89.0,15,100,Excellent
1,IRCTC,Indian Railway Catering & Tourism Corporation Ltd,2024,31.535623048538174,25,26.01873536299766,20,0.011921657678115243,20,17.955244103890912,20,82.73684210526316,15,100,Excellent
1,NAUKRI,Info Edge (India) Ltd,2018,24.49877750611247,25,50.708502024291505,20,0.0004889975550122249,20,15.921232283459897,20,124.0,15,100,Excellent
1,NAUKRI,Info Edge (India) Ltd,2019,23.27959103421156,25,51.433536055603824,20,0.00039323633503735744,20,15.212195570626985,20,106.57142857142857,15,100,Excellent
2,ADANIPOWER,Adani Power Ltd,2024,37.22522071701755,25,41.36759945184802,20,0.6738570969010258,15,16.086096410440966,20,8.297225501770956,15,95,Excellent
2,ASIANPAINT,Asian Paints Indian Multi-National Paint and Coating Manufacturing Company,2023,26.231865932966482,25,12.163298442981821,15,0.12087293646823412,20,15.437019717035461,20,46.46527777777778,15,95,Excellent
2,COALINDIA,Coal India Ltd,2023,52.13911214108443,25,22.94578016954547,20,0.07118320924346268,20,10.154316600646451,15,14.33719512195122,15,95,Excellent
2,DIVISLAB,Divis Laboratories Ltd,2021,21.34480903711673,25,28.46893384990673,20,0.0005379236148466917,20,13.038840944248363,15,1462.0,15,95,Excellent
2,EICHERMOT,Eicher Motors Ltd,2024,21.081195005005533,25,24.195694242864054,20,0.021286685283734653,20,11.036936496739692,15,114.70588235294117,15,95,Excellent
2,INDIGO,Interglobe Aviation Ltd,2024,856.9779643231899,25,11.852722628584697,15,0.02098635886673662,20,19.313355125806165,20,22.612639724849526,15,95,Excellent
2,INFY,Infosys Ltd,2023,31.970506716883047,25,16.426035825492104,15,0.11005609558794277,20,15.787255328146577,20,133.20774647887325,15,95,Excellent
2,ITC,ITC Ltd,2023,28.16426867182416,25,27.463726222873987,20,0.004424842744559323,20,10.295187558658526,15,356.43589743589746,15,95,Excellent
2,LTIM,LTIMindtree Ltd,2020,28.127313101406365,25,13.971872414744002,15,0.1687638786084382,20,16.92484877805469,20,28.40963855421687,15,95,Excellent
2,LTIM,LTIMindtree Ltd,2021,26.533406352683457,25,15.666936135812449,15,0.1092552026286966,20,16.17219033696773,20,37.962025316455694,15,95,Excellent
2,LTIM,LTIMindtree Ltd,2022,27.645576707726764,25,15.128882760733847,15,0.018057110862262037,20,32.05717863061026,20,48.90243902439025,15,95,Excellent
2,LTIM,LTIMindtree Ltd,2023,26.57907425265188,25,13.289937618660158,15,0.09287608486017358,20,35.34655180923289,20,44.43333333333333,15,95,Excellent
2,LTIM,LTIMindtree Ltd,2024,21.755634638196916,25,12.90931103415266,15,0.11036773428232503,20,30.32798083513346,20,31.93243243243243,15,95,Excellent
2,NAUKRI,Info Edge (India) Ltd,2022,74.71291033522793,25,810.6985525487728,20,0.0037118663728105787,20,12.342009060770032,15,1296.0,15,95,Excellent
2,TCS,Tata Consultancy Services Ltd,2018,30.401278075368854,25,21.02287496750715,20,0.002901513015694014,20,14.340869430011583,15,695.3461538461538,15,95,Excellent
2,TCS,Tata Consultancy Services Ltd,2019,35.28609440332715,25,21.549469831971216,20,0.000693155646982537,20,12.353179810852332,15,221.2979797979798,15,95,Excellent
